epoch,train_loss,val_loss,train_accuracy,val_accuracy,f1_macro
1,0.5904262700216557,0.1700195829960814,0.8457468457468458,0.9485144485144485,0.9483807940062261
2,0.1189564819788424,0.12177919503221063,0.9643365893365894,0.9615384615384616,0.961469723826819
3,0.07049943884963367,0.09445398912831987,0.9809218559218559,0.9719169719169719,0.9718535136244003
4,0.051995856096831765,0.08157747700944991,0.9847883597883598,0.9761904761904762,0.9761656563967301
5,0.046120860375278454,0.11230807401575889,0.9874338624338624,0.9694749694749695,0.9693496942283693
6,0.037656985619862575,0.09248487073695842,0.9898249898249898,0.973951973951974,0.9739063674694544
7,0.03961568304301596,0.09811857815680605,0.9871794871794872,0.9725274725274725,0.9724560150853647
8,0.027909229802416367,0.07985842282621226,0.9916564916564916,0.9792429792429792,0.9792300806531037
9,0.025569449825358116,0.0993892821955832,0.9919108669108669,0.9765974765974766,0.9765821886769614
10,0.0326788399773612,0.0974931123854341,0.9902828652828652,0.9723239723239723,0.9723240906420768
11,0.02680434819192122,0.09415216457806713,0.9918091168091168,0.977004477004477,0.9769582968808679
12,0.020844436091313145,0.11208302362340626,0.9935897435897436,0.9737484737484737,0.9739395248406126
13,0.02286961799816605,0.0812903155433962,0.9935897435897436,0.9790394790394791,0.9789940365236083
