epoch,train_loss,val_loss,train_accuracy,val_accuracy,f1_macro
1,0.6004961347434579,0.15680447415419999,0.8395400895400895,0.955026455026455,0.9546914409258938
2,0.12680132511730602,0.10973712623776269,0.9631664631664631,0.9668294668294668,0.9668853968547173
3,0.06992260526858149,0.10769371846903855,0.9798026048026048,0.968050468050468,0.9679460268368347
4,0.05270917997506212,0.11839907230891682,0.9850936100936101,0.9700854700854701,0.9701145668763234
5,0.040858266334526425,0.10179912930145481,0.9874847374847375,0.9727309727309728,0.9727835916514417
6,0.03462402643162636,0.10372464358720976,0.9891127391127391,0.9745624745624746,0.9745260939699456
7,0.037812761144004614,0.11177750744907637,0.9883496133496134,0.9719169719169719,0.9718802730268788
8,0.034314174086093996,0.12021681951442918,0.98992673992674,0.9708994708994709,0.9709909230084597
9,0.02961959553261598,0.09445079861640139,0.9913512413512413,0.9774114774114774,0.9773942885803228
10,0.027268749960921553,0.10788615586186359,0.9921143671143671,0.9717134717134717,0.9717771183906967
11,0.02478200981073551,0.10117362358024165,0.9930809930809931,0.9729344729344729,0.9727163280589095
12,0.02651754019089134,0.09014518798573454,0.9918091168091168,0.977004477004477,0.9769520704522444
13,0.02828152090771506,0.127467850278337,0.9915038665038665,0.9702889702889703,0.9701540721990816
14,0.018409942883507887,0.10466890232969353,0.9945054945054945,0.9741554741554742,0.9741279264990048
